work	date	issue	page	block	height	width	hpos	vpos	text	active_words	occurrences_words	unique_words
monde_illustre	1876-01-08	1	12	PAG_00000012_TB000029	166	1252	2542	1152	pays comme une fureur de centenaires et de fêtes commémoratives en l'honneur des illustres musiciens ; sans compter les érections de statues. «	érections	1	1
constitutionnel	1876-01-15	1	4	Page1_Block42	391	807	1755	3730	& lille, 2?, îrtie pôntfe-dé-feotnmes. a lyon,s, ri^.dè4'hôret-dè-vme. : amarsbilâbi sj piàtie dé lia bourse. a^bordëauxi 28, couré dé l'intendance. i i ) « m.. * , / , . t - . : ... _ ' j t . t < les actions sont déjà cêlèes d la. bourse de lille, • , l'ùdmission.à la coït 4e paris est, demandée- ou;peumpuwrii» dès à présent par lettres. lqfépartition}sjiferja$rôportiqnn$teme~rit.	coït	1	1
liberte	1876-01-16	1	3	PAG_3_TB000064	768	1061	2567	2437	cet être charmant et affreux a toutes les séductions et toutes les épouvantes ; l'amour sourit sur son visage et la mort menace dans ses griffes, tandis que les battements de ses ailes semblent caresser l'idéal. invisible et toujours présente, tantôt elle rampe devant nous comme un chien soumis, tantôt plane en tournoyant au-dessus de nos têtes, d'un vol silencieux et menaçant comme celui du vautour. parfois, voluptueuse et pantelante, elle se roule, se love, avec des enchantements mortels ; parfois, se dressant debout et appuyant ses deux pattes sur nos épaules, elle plonge ses yeux dans nos veux et elle nous haire.	voluptueuse	1	1
figaro	1876-01-19	1	3	Page1_Block6	2275	810	915	268	jl. le président. — mais il a quatre-vingt- cinq ans. le témoin.'—oh 1 cela n'y fait rien, frire général. le témoin donne de bons renseigne ments sur la femmo léon). un. vieillard de quatre-vingts ans dé pose qu'il ne peut donner aucun mau vais renseignement sur léon, tandis qu'olivier se livrait au libertinage et qu'il a été cause de la mort d'un homme et d'une femme; cette femme est la sœur du témoin, morte poignardée par. son mari à (cause de là desunion qu'olivier ; avait mise dans son-ménage. » en présence d'un ensemble de rensei- ; gnements aussi concluants, le jury ac quitte les deux accusés. ; a la sortie de l'audience, un grand ; nombre do femmes entourent le vieux i séducteur, en l'accablant de plaisante ries. . i une assez piquante question de fait et i de droit a été soumise hier par mlle > ra'ymonde, du palais-royal, à la juri- '; diction des référés. la couturière de cette charmante ac- ! .trice ne pouvant se faire solder une ! note de 2,700 francs, a eu -l'idée de for- i mer opposition entré les mains dudi- -recteur du palais-royal, sur les appoin tements de mlle raymonde. . cette dernière s'est-présentée aussitôt devant le juge des référés par le minis tère de son avoué, m° gahen, et a de- mandé au magistrat d'annuler l'opposi- i tion, par ce motif qu.e ses appointements: sont, insaisissables, du moins pour le; tout, car ils constituaient ses seules sres-t sources, et la loi ne permet pas de saisir, : comme l'atait-sa couturière, dessommes alimentaires. i m° milliot, avoué,-s'est-présenté pour lai couturière et a demandé le maintien de l'opposition, prétendant que le système: invoqué par-mlle raymondo n'est past sérieux,, les ressources multiples de la jeune pensionnaire dupalais-tloyalne' permettant -pas<d econsidérer.-ses appoin tements comme alimentaires. le juge des référés a remis l'afïaire à, huitaine; sans cloute pour 'faire vérifier, les allégations contraires dos deuxrpar- ties. . - _ . ; . £ fermànd de rodays. i	libertinage	1	1
presse	1876-01-19	1	1	Page1_Block238	974	803	3400	4961	ôn ! connaît -les résultats ^âés érections de ^ dimanche dans quarante ^ départements en viron'.: • dans trente départements, la majorité des délégués' est ac^iiise aux listes conservafri- ces. ■■ ■ ■■ -, ■■. ■■ 'v. dans six autres (yoitné, sîàyennè, isèrè. fiard., ain et oran), les résultats sont consi dérés comme douteux. en dehors de la seine, 'la majorité des dé légués ne parait acquise à l'oppo j sitîon que dans les bouches-dn-rhône et les pyrénées- ' <prïëtitales. daiig l'aube, les délégués conservateurs ont une majorité de 30 à 40 voix. » dans les landes, 380 fnatfrêfei- ont : été élàë délégués.. le total des délégués cônseiva- teurs est de 484 contre 63 opposants. il y a 187 douteux. dans les vosges, la, majprité çon^ervatricë paraît être -dp 60 vote. . - , . dans la haute-garqipie, fille est évaluéeide 00. à 70 pour -cent. _ {correspondance jïaws.)	érections	1	1
temps	1876-01-24	1	3	Page1_Block5	3442	829	125	3021	cruautés d’une mère envers son eufant. —une fille rosalie piton, âgée de vingt-neuf ans, vient de comparaître devant la cour de seine-et-oise, sous l’accusation de traitements exercés sur sa petite fille âgée . de quatre ans. la malheureuse enfant à succombé à ces traitements, et,' bien que l’adeusation à la mère la pensée d’avoir vonlu se de son enfant, elle n’est accusée que de blessures volontaires. avant d’avoir donné le jour à cette enfant, l’accusée en avait déjà eu quatre qui sont morts peu de temps après leur naissance. elle se livrait au libertinage et ne payait pas les mois de placée comme domestique au vésinet, elle était à deux pas de son enfant et n’allait pas la voir. obligée de la reprendre, elle en fit un martyr ; elle la frappait continuellement, même pendant son sommeil ; elle en donnait pour excuse des habitudes de malpropreté que l’enfant n’avait pas. un jour, les maîtres de l’accusée s’aperçurent que la petite marie-blanche était dans un état el&rm&iit, on envoya chercher un médecin qui déclara que la situation de l’enfant était désespérée ; il constata que la peau était marbrée de profondes meurtrissures; à l’angle d’un des yeux, aux bras, à la poitrine, au ventre et à la partiè postérieure du corps.se voyaient de nombreuses ecchymoses, ainsi que des piqûres et des déchirures ; le bas des reins était noir et tuméfié ; à la partie de la tête se trouvait une plaie contuse; enfin, on remarquait aux pieds de larges produites par dès brûlures. les-vêtements étaient maculés de sang. l’enfant succomba au bout de quelques heures. l’autopsie .confirma, en les aggravant, les con- tatations du premier examen médical : les tissus apparurent réduits en une sorte do bouillie par l’effet d’une série de contusions successives. les hommes de l’art déclarèrent que les coups avaient été portés a l'aide d’un corps dur et résistant, tel qu’un bâton, une bûche ou »une barïe de fer : la mort était le résultat d’une perturbation générale causée par l’ensemble des violences exercées sur le corps de l’enfant, par la lésion du crâne et des dans la lésion lombaire. , la fille piton a ôté condamnée à huit années de réclusion. détournements par un chef de bureau do l’assistance publique. — demain, la cour de la seine jugera un sieur lefevre, qui depuis vingt-deux ans à l’administration de l’assistance publique. il est accusé de détournements commis à- l’aide de faux. ' placé à la direction des enfants-assistés et des secours aux filles-mères, il avait trouvé le moyen d’augmenter les effectifs et de s’attribuer les sommes qu’il faisait figurer comme envoyées aux nourriciers des pupilles de l’administration. longtemps, paraît-il. le désordre le plus complet existait dans cette branche de service, et lmstruction judiciaire a constaté que tous les moyens de contrôle avaient successivement disparu. affaire garrigues ; empoisonnement ; complicité de la piêre et du 01s. — nous avons parlé de l’affaire de mme garrigues et du docteur garrigues, son fils, accusés tous deux d’avoir empoisonné m. garrigues père ; elle le 2 mars prochain devant les assises de la dordogne. m. de forcade, conseiller à la cour de bordeaux, présidera cette session extraordinaire. m. le procureur général de gabrielli occupera le fauteuil du ministère public. les trois accusés renvoyés devant le jury ont choisi pour défenseurs : 1° la veuve garrigues : m e raynaud, bâtonnier de l’ordre des avocats de périgueux ; 2° le docteur garrigues : m® damai, bâtonnier de l’ordre des avocats de gourdon, et m e •■‘u barreau de paris ; 3° joannès issier, domestique, poursuivi complice : m® .millet, au barreau de on pense que les débats de cette affaire une huitaine de jours. jle banquet «le bastia; propagande bona- ' partiale. — on se rappelle le banquet que m. rouher s’était fait offrir à bastia. a la suite d’une information régulière, une ordonnance du juge d’instruction a renvoyé devant le tribunal de bastia, pour réunion publique illicite, m. le docteur piccioni, ancien maire de la ville de bastia, en sa qualité de président du banquet; m. l’abbé gastelli, comme ayant-fourni le local, et mm. caiandra et lacour, capitaines en retraite; comme organisateurs de la réunion. l’affairè a été appelée hier; mais après des tèmüins assignés, le tr bunal; d’office, a prononcé un jugement qui remet l’affaire au 22 février prochain pour entendre de nouveaux témoins.	libertinage	1	1
debats	1876-01-25	1	3	P3_TB00014	2479	793	2621	3987	c'est ainsi que m. di bernardo oppose l'opinion des italiens célèbres (cesarotti, algtroui, betlinelii, galiani , v-rri, etc.) aux objurgations de quelques libellisles médiocres toujours prêts à crier : va vielis! mais r.otre dé tenseur ne se borne pas à nous soutenir contre les journalistes de son pays; il combat encore pour nous contre les écrivains de l'allemagne. il paraît que nous sommes fort mal traités au delà du rhin. « qu'est-ce que l'art français? » se dem mde m. richard wagner. ( deulsche kunsbund deutscli politik.) et il s<- répond : « uue antiquaille, une abomination, une putréfaclion. » m. gottsch-dl [unsere zeii) s'adresse l'interrogation suivante : « peuton comparer les sentimens élevés, la faire exquis des allemands avec l'impudique galanterie et la sensualité française? » m. spîelhagen décrété que « l'esprit allemand est de jour en jour plus sain, plus vigoureux, tandi- que l'esprit français est de jour en jour plus faible et infirme. » ce qui nous ' distingue, selon m. lhbke {die moderne franzœsische .kunsl), c'est la cruauté, la férocité; m. pechte ajouté': « la soif du sang. » [kunsl und kunstindustrie.) ces appréciations ne sont pas <iu goût de m. di bernardo, qui se contente de les citer ; il paraît donc qu'en italie. il est encore inutile de les combattre. l'auteur sicilien ne craint qu'une chose, c'est que son pays, après n'avoir été trop longtemps qu'un reflet du nôtre, n'aille se perdre maintenant dans les brouillards de berlin. le style en souffrirait; on ne s'en aperçoit que trop en lisant certains articles de revues. « la langue italienne, disait gioberli, sculpte les objets; la langue française les peint, en les montrant rapprochés, avec des traits délicats et fins, mais nets, polis et distincts ; on peut dire que la langue allemande ,le 3 ébauche et les embrume ea les traçant d'une façon perplexe, comme les lointains des peintures. » gioberti prédisait encore : « il est à redouter que l'ltalie, après s'être francisée laidement, ne se germanise en se prenant à une nouvelle glu d'où il lui serait plus malaisé de sortir. » un journal modeste, la darmstaedte zeitunga, déclaré en septembre 1875, lors de l'anniversaire de sedan, que cette victoire était le triomphe de la civilisation sur là barbarie [ein sieg verfeinerter cultur hier die barlarei ) (1). d'autres ont ajouté que	sensualité	1	1
figaro	1876-01-25	1	4	Page1_Block2	440	1109	259	323	volum/is in-1 s, 3 fr. — tar poste , 3 fr. 50 gustave droz monsieur, madame et'bébé i t'.flf/ne /cmme tsfnt.nie.. , i vulve nmts. . 4 î'.ijanifut- inutc source. 1 f. cahier bleuie ci bot 1r. / ». les étang#. 1 v.ubv paquet de lettres, 1 franc, .... . . 1 y i. tourgueneff !une-nichée de gentilshommes i v. histoires étranges.- / ius eimx imnlaniires. j v \ stahl voyage d'un étudiant. ) histoire d'un homme _enrhumé. . . j 0u3 presso : voyage ou il vous plaira.	vulve	1	1
rappel	1876-01-26	1	3	PAG_00000003_TB000135	227	1014	3541	7208	avant d'avoir donné le jour à cette enfant, l'accusée en avait déjà eu quatre qui sont morts peu de. temps après leur naissance. elle se livrait au libertinage et ne payait pas les mois de nourrice. ,.	libertinage	1	1
figaro	1876-01-29	1	3	Page1_Block293	2270	253	4543	4519	obufiatioss ann.dueg p. l'etat anaultés départ., amiens • bordeaux lille 1860 — 1863.... m..' marseille 1862.... roubaix versailles-. e/t'jo fr. 40/0.... '31 10... g>500 fr . 30/0.... (t0 • f j&00 (1863) 4 0/0. [ cniiimluiaaes.. ô\ &•» commiinales 5 0/0 coït ; m . 4 0/0 187a. algérieul '. yl°nr' __ d« r . 150 fr . cîeâ fonc . russe . suez 5 0/0. bons suez suez , bons de cou . chaientes 3 0/0.. — bons est 50/0r. 650.... — 30/0 lille - béthune . ... lille k yalencien . — 50/0 lyon 5 0/0 r . 1250. lyon 1855. lyon (liision) — 1866 victor - ettiminnel médoc . — bons midi 3 0/0 nord 3 0/0. nord - est . 0rléaus40 / 0r .l250 — 3 0/0 .... grand - central ... orléans à cliâloas 1 émission 2 e émission 3* émission ...'.. orléans a rouerr . ■ ouest 5 0/0 r . 1250 — 3 0/0 tramw .-n. paris . c'- gen . fr . tramw . tram 's-.-s. paris . perpignan - prades picardie et fiand . tréport vendee3 0/0 r . 500 lombardes .. — nouvelles . bons lombards 76 — 1877 — 1878 autrichiennes — nouv . cordoue - séviilc .. priorité n. iisp ... — à revenu var . portugais romains romains ac. priv . pampei . à sarag ;. saragosse . c« madriièuecoki ) llaiies - naples ...., ïîaux (c° général ^ o parisienne gaz cail et c«......... messageries omnibus :. sqc . immobilière . transatlantiques . port cadix .......	coït	1	1
